Question ID,Question,Answer
SIG-001,Does the company encrypt customer data at rest?,
SIG-002,What encryption algorithms and key lengths are used for data at rest?,
SIG-003,Is data encrypted in transit between the customer and your service?,
SIG-004,Describe your authentication mechanism for production system access.,
SIG-005,Is multi-factor authentication enforced for all administrative access to production systems?,
SIG-006,How frequently are user access rights reviewed?,
SIG-007,What is your password policy for end-user accounts?,
SIG-008,Describe your business continuity and disaster recovery program.,
SIG-009,What is your stated Recovery Point Objective (RPO) and Recovery Time Objective (RTO)?,
SIG-010,How often are backups performed and where are they stored?,
SIG-011,Describe your vendor risk management program.,
SIG-012,Are sub-processors reviewed for security posture before onboarding?,
SIG-013,Is customer data logically segregated from other tenants?,
SIG-014,Describe your incident response process.,
SIG-015,What is your customer notification commitment for security incidents?,
SIG-016,Do you have a 24/7 on-call security or operations capability?,
SIG-017,Are you compliant with GDPR? Provide details on data subject rights handling.,
SIG-018,Are you compliant with CCPA? Provide details on consumer rights handling.,
SIG-019,Is a Data Processing Agreement (DPA) available for customers?,
SIG-020,Describe your network architecture and tenant isolation.,
SIG-021,Do you operate within a Virtual Private Cloud (VPC) or equivalent isolated network?,
SIG-022,Is there a Web Application Firewall (WAF) in front of your application?,
SIG-023,Do you have DDoS protection in place?,
SIG-024,How is access to production secrets (API keys, certificates) managed?,
SIG-025,Are application logs retained and how long?,
